FID,ref_tn_cod,id_thiesse,type,area_m2,road_density_mean,school_kde_mean
14387,415958,1042,0,702838.6019072697,0.014140832308454044,0.028975282682839668
14388,235953,1437,0,51272.15477444554,0.020366109907627106,0.0
14389,235554,1211,0,6818.4621135963,0.0,0.0
14390,235554,1211,0,3773.0221095014135,0.0,0.0
14391,235554,1211,0,5260015.702333617,0.024543810667615008,0.011377205619804095
14392,426262,219,0,8483808.523928402,0.010068364256013061,0.012969048171174896
14393,426257,223,0,1314.5990277184756,0.0,0.0
14394,426257,223,0,78886.2326127181,0.014376076869666576,0.0
14395,525459,2487,0,12.623509985348985,0.0,0.0
14396,525459,2487,0,15250.546756163589,0.03320873901247978,0.003218797966837883
14397,525459,2487,0,18466.157309654882,0.032346174120903015,0.00023480557319999207
14398,115957,3887,1,16081.525220511565,0.9240943193435669,0.11923551559448242
14399,315452,4302,1,295.63237257231276,0.0,0.0
14400,635653,140,0,11481033.070927583,0.0019149880297039293,0.02458170115523835
14401,345953,3217,0,470970.2245512011,0.04326545845039866,0.053620696321807125
14402,176055,3943,0,31335.663305452035,0.061721292634805046,0.0015230280502388875
14403,635554,275,0,1125084.329542608,0.013204169975194548,0.030082602785634144
14404,525755,2635,1,210728.50633862842,0.1402215212583542,0.0535000575085481
14405,175854,2228,1,11683.31553698331,0.05922944098711014,0.16743536293506622
14406,436252,1027,0,126929.7890645123,0.01466359943151474,0.021731285209005528
14407,425453,469,0,6839328.401472313,0.009003754157153617,0.013411625254387308
14408,426153,244,0,163706.69366028908,0.018593060846130053,0.04106138423085213
14409,426153,244,0,6021842.131935751,0.017499889615316722,0.04288744687588508
14410,426153,244,0,5312260.196748078,0.018203741742785592,0.04741964100556634
14411,175759,2170,0,20729288.16062718,0.019695988852663635,0.011107533443489503
14412,125754,3831,1,76.32864186098479,0.0,0.0
14413,125754,3831,1,112656.89262661913,0.6621261934439341,0.6200141112009684
14414,125754,3831,1,9040.90328475913,0.667193740606308,0.6316685676574707
14415,235852,1289,1,817251.17598235,0.027556487109239507,0.09588898109590135
14416,175158,2197,0,183.13699835409562,0.0,0.0
14417,175158,2197,0,11312.022043393668,0.06081080436706543,0.03795640170574188
14418,425652,544,0,1041567.9089863566,0.02256206761213761,0.05706741331705769
14419,235258,1305,1,59.151478941999414,0.0,0.0
14420,235258,1305,1,131.390618967645,0.0,0.0
14421,235258,1305,1,136869.90503905926,0.05247268080711365,0.26536029974619546
14422,235258,1305,1,2.505731573425626,0.0,0.0
14423,235258,1305,1,131739.84319699643,0.05247268080711365,0.26815038231702953
14424,346252,2774,0,4473955.304961484,0.021421963949031477,0.019817773081878955
14425,525658,2678,1,278605.8748035611,0.1859158523953878,0.08429070676748569
14426,525658,2678,1,76.43443331238916,0.0,0.0
14427,215256,1610,1,5280437.199233324,0.0641536534676012,0.005462422869333339
14428,215256,1610,1,16220.927582479088,0.0642610713839531,0.016377205029129982
14429,215256,1610,1,532350.8214115337,0.06558256051861323,0.026496310933278158
14430,235559,1295,0,158200.2749006098,0.02444891557097435,0.014971054407457511
14431,235559,1295,0,139592.1315260456,0.024521480314433575,0.015363337538604225
14432,116555,3579,1,70138.99616126664,0.9021810037749154,0.6527337687356132
14433,245856,1418,0,4052571.384552419,0.020195356942251066,0.01427855905117675
14434,345154,3142,1,9824.366191359346,0.2781771123409271,0.4413181245326996
14435,345154,3142,1,468.4500131431022,0.0,0.0
14436,345154,3142,1,1125.6966439758928,0.0,0.0
14437,345154,3142,1,82.86604057595592,0.0,0.0
14438,345154,3142,1,564.9031861823375,0.0,0.0
14439,345154,3142,1,999.8932436181528,0.0,0.0
14440,345154,3142,1,94935.81245131732,0.2792553097009659,0.46258255243301394
14441,345154,3142,1,69549.69926543941,0.27786904147693087,0.43011984654835295
14442,315851,4092,0,56666.5551945085,0.15837046317756176,0.013497432926669717
